[['RK2' '4' '0.0002510975451020525' '0.0017476329812780023']
 ['RK2' '5' '6.130220242739348e-05' '4.18039271607995e-05']
 ['RK2' '6' '1.5145879413813734e-05' '5.343393422663212e-05']
 ['RK2' '7' '3.7642782991786916e-06' '0.0001236980315297842']
 ['RK2' '8' '9.383121931660909e-07' '0.0002081680577248335']
 ['RK2' '9' '2.342344066486035e-07' '0.0004222859861329198']
 ['RK2' '10' '5.851570950010654e-08' '0.0008776040049269795']
 ['RK4' '4' '4.928112851132482e-08' '4.1328021325170994e-05']
 ['RK4' '5' '3.0008087681387963e-09' '5.36179868504405e-05']
 ['RK4' '6' '1.8512297250694587e-10' '0.00010937405750155449']
 ['RK4' '7' '1.1495138174666408e-11' '0.0002162150340154767']
 ['RK4' '8' '7.168154958492323e-13' '0.00039151497185230255']
 ['RK4' '9' '4.3520742565306136e-14' '0.0008612739620730281']
 ['RK4' '10' '2.7755575615628914e-15' '0.001483372994698584']
 ['Forward Euler' '4' '0.01180531071964952' '6.8320659920573235e-06']
 ['Forward Euler' '5' '0.005824151915125697' '8.904957212507725e-06']
 ['Forward Euler' '6' '0.002892916927534961' '2.505793236196041e-05']
 ['Forward Euler' '7' '0.001441725249405168' '2.8913957066833973e-05']
 ['Forward Euler' '8' '0.0007196862799060955' '5.573895759880543e-05']
 ['Forward Euler' '9' '0.0003595499169070093' '0.0001129519660025835']
 ['Forward Euler' '10' '0.00017970176017118034' '0.0002433129120618105']]
           Method   n        CPU Global Error            CPU Time (s)
0             RK2   4   0.0002510975451020525   0.0017476329812780023
1             RK2   5   6.130220242739348e-05    4.18039271607995e-05
2             RK2   6  1.5145879413813734e-05   5.343393422663212e-05
3             RK2   7  3.7642782991786916e-06   0.0001236980315297842
4             RK2   8   9.383121931660909e-07   0.0002081680577248335
5             RK2   9   2.342344066486035e-07   0.0004222859861329198
6             RK2  10   5.851570950010654e-08   0.0008776040049269795
7             RK4   4   4.928112851132482e-08  4.1328021325170994e-05
8             RK4   5  3.0008087681387963e-09    5.36179868504405e-05
9             RK4   6  1.8512297250694587e-10  0.00010937405750155449
10            RK4   7  1.1495138174666408e-11   0.0002162150340154767
11            RK4   8   7.168154958492323e-13  0.00039151497185230255
12            RK4   9  4.3520742565306136e-14   0.0008612739620730281
13            RK4  10  2.7755575615628914e-15    0.001483372994698584
14  Forward Euler   4     0.01180531071964952  6.8320659920573235e-06
15  Forward Euler   5    0.005824151915125697   8.904957212507725e-06
16  Forward Euler   6    0.002892916927534961   2.505793236196041e-05
17  Forward Euler   7    0.001441725249405168  2.8913957066833973e-05
18  Forward Euler   8   0.0007196862799060955   5.573895759880543e-05
19  Forward Euler   9   0.0003595499169070093   0.0001129519660025835
20  Forward Euler  10  0.00017970176017118034   0.0002433129120618105
